trade_id,entry_time,exit_time,pnl,mae,mfe
0,2024-01-01 09:30:00,2024-01-01 12:30:00,-1.3805,1.6354,2.6333
1,2024-01-01 11:30:00,2024-01-02 05:30:00,-1.7904,4.2641,5.7423
2,2024-01-01 13:30:00,2024-01-02 05:30:00,4.3448,2.6778,9.7456
3,2024-01-01 15:30:00,2024-01-02 02:30:00,4.5955,1.8151,6.6187
4,2024-01-01 17:30:00,2024-01-02 03:30:00,-2.1754,2.7937,5.0102
5,2024-01-01 19:30:00,2024-01-02 15:30:00,-1.5158,1.9503,1.3173
6,2024-01-01 21:30:00,2024-01-01 23:30:00,3.2057,1.4578,7.4957
7,2024-01-01 23:30:00,2024-01-02 16:30:00,-3.6379,11.592,2.6508
8,2024-01-02 01:30:00,2024-01-02 06:30:00,-1.5527,2.3522,1.0199
9,2024-01-02 03:30:00,2024-01-02 06:30:00,0.948,0.9309,3.9634
10,2024-01-02 05:30:00,2024-01-02 18:30:00,5.4797,1.3994,11.8884
11,2024-01-02 07:30:00,2024-01-03 06:30:00,-2.523,6.4296,0.2749
12,2024-01-02 09:30:00,2024-01-03 02:30:00,-8.7119,10.5879,0.0695
13,2024-01-02 11:30:00,2024-01-03 05:30:00,-9.083,9.7717,1.8427
14,2024-01-02 13:30:00,2024-01-03 06:30:00,-5.7971,6.7087,3.0527
15,2024-01-02 15:30:00,2024-01-03 10:30:00,-6.0658,6.4404,1.5373
16,2024-01-02 17:30:00,2024-01-03 05:30:00,-0.2731,3.1607,5.1478
17,2024-01-02 19:30:00,2024-01-02 22:30:00,-5.4444,15.4975,0.3974
18,2024-01-02 21:30:00,2024-01-03 17:30:00,-3.0138,6.6664,2.3605
19,2024-01-02 23:30:00,2024-01-03 10:30:00,-3.3704,5.0915,3.3356
20,2024-01-03 01:30:00,2024-01-03 13:30:00,-1.7025,1.7076,0.7993
21,2024-01-03 03:30:00,2024-01-03 12:30:00,7.1125,2.0302,11.6317
22,2024-01-03 05:30:00,2024-01-03 10:30:00,3.8097,4.2011,6.2566
23,2024-01-03 07:30:00,2024-01-04 05:30:00,0.5806,4.0381,4.9472
24,2024-01-03 09:30:00,2024-01-04 03:30:00,-1.8051,2.4068,2.5823
25,2024-01-03 11:30:00,2024-01-04 02:30:00,-1.6662,7.3062,3.1292
26,2024-01-03 13:30:00,2024-01-03 23:30:00,2.1387,2.0633,2.2416
27,2024-01-03 15:30:00,2024-01-04 10:30:00,3.4208,4.3243,3.5285
28,2024-01-03 17:30:00,2024-01-04 06:30:00,-4.0381,6.9267,5.6732
29,2024-01-03 19:30:00,2024-01-04 06:30:00,0.6824,1.4686,4.5889
30,2024-01-03 21:30:00,2024-01-04 08:30:00,-9.6581,10.5228,1.0689
31,2024-01-03 23:30:00,2024-01-04 05:30:00,1.5586,1.5634,4.1012
32,2024-01-04 01:30:00,2024-01-04 04:30:00,4.3107,4.5262,9.4321
33,2024-01-04 03:30:00,2024-01-04 16:30:00,-0.9003,1.3759,0.2782
34,2024-01-04 05:30:00,2024-01-05 02:30:00,9.5826,3.3192,14.4657
35,2024-01-04 07:30:00,2024-01-04 09:30:00,-3.9062,5.1544,1.6246
36,2024-01-04 09:30:00,2024-01-05 05:30:00,1.5872,4.3402,3.9409
37,2024-01-04 11:30:00,2024-01-05 07:30:00,0.3209,2.9388,7.37
38,2024-01-04 13:30:00,2024-01-04 20:30:00,-0.0015,1.6078,0.8232
39,2024-01-04 15:30:00,2024-01-05 06:30:00,-0.0716,1.3996,3.0148
40,2024-01-04 17:30:00,2024-01-04 21:30:00,1.0355,4.7943,4.4314
41,2024-01-04 19:30:00,2024-01-05 13:30:00,4.7398,1.7771,9.6269
